TIME,PRES
0.000,0.0
0.250,0.0
0.500,0.0
0.750,0.0
1.000,0.0
1.250,0.0
1.500,0.0
1.750,0.0
2.000,0.0
2.250,0.0
2.500,0.0
2.750,0.0
3.000,0.0
